show_id,type,title,director,cast,country,release_year,rating,duration,listed_in
s329,Movie,Boyka: Undisputed,Todor Chapkanov,"Scott Adkins, Teodora Duhovnikova, Alon Aboutboul, Julian Vergov, Brahim Achabbakhe, Paul Chahidi, Petio Petkov, Valentin Ganev, Vlado Mihailov",Bulgaria,2016,R,90.0,Action & Adventure
s330,Movie,Catch Me If You Can,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye, Amy Adams, James Brolin, Brian Howe, Frank John Hughes, Steve Eastin",United States,2002,PG-13,142.0,Dramas
s331,Movie,Cloudy with a Chance of Meatballs,"Phil Lord, Christopher Miller","Bill Hader, Anna Faris, James Caan, Andy Samberg, Bruce Campbell, Mr. T, Bobb'e J. Thompson, Benjamin Bratt, Neil Patrick Harris, Al Roker",United States,2009,PG,90.0,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
s333,Movie,Deep Blue Sea,Renny Harlin,"Thomas Jane, Saffron Burrows, Samuel L. Jackson, Jacqueline McKenzie, Michael Rapaport, Stellan Skarsgård, LL Cool J, Aida Turturro, Cristos, Daniel Rey",United States,1999,R,105.0,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy"
s334,Movie,Ferris Bueller's Day Off,John Hughes,"Matthew Broderick, Alan Ruck, Mia Sara, Jeffrey Jones, Jennifer Grey, Cindy Pickett, Lyman Ward, Edie McClurg, Charlie Sheen, Kristy Swanson, Ben Stein, Del Close",United States,1986,PG-13,103.0,"Classic Movies, Comedies, Cult Movies"
s335,Movie,Five Feet Apart,Justin Baldoni,"Haley Lu Richardson, Cole Sprouse, Moisés Arias, Kimberly Hébert Gregory, Parminder Nagra, Claire Forlani, Emily Baldoni, Gary Weeks, Cynthia Evans",United States,2019,PG-13,116.0,"Dramas, Romantic Movies"
s336,Movie,Freedomland,Joe Roth,"Samuel L. Jackson, Julianne Moore, Edie Falco, Ron Eldard, William Forsythe, Aunjanue Ellis, Anthony Mackie, LaTanya Richardson Jackson, Clarke Peters, Peter Friedman, Domenick Lombardozzi",United States,2006,R,113.0,"Dramas, Thrillers"
s337,TV Show,Friday Night Lights,Unkown,"Kyle Chandler, Connie Britton, Aimee Teegarden, Taylor Kitsch, Jesse Plemons, Minka Kelly, Zach Gilford, Adrianne Palicki, Derek Phillips, Brad Leland, Gaius Charles, Timothy F. Crowley, Louanne Stephens, Stacey Oristano, Scott Porter",United States,2010,TV-14,5.0,"TV Dramas, Teen TV Shows"
s338,Movie,Good Luck Chuck,Mark Helfrich,"Dane Cook, Jessica Alba, Dan Fogler, Ellia English, Sasha Pieterse, Annie Wood, Lonny Ross, Chelan Simmons, Simone Bailly, Jodelle Ferland, Crystal Lowe, Troy Gentile, Georgia Craig, Michelle Harrison, Chiara Zanni",United States,2007,R,99.0,"Comedies, Romantic Movies"
s339,TV Show,Hunter X Hunter (2011),Unkown,"Megumi Han, Mariya Ise, Keiji Fujiwara, Miyuki Sawashiro, Daisuke Namikawa",Japan,2014,TV-14,6.0,"Anime Series, International TV Shows"
s340,Movie,I missed you: Director's Cut,"Mag Hsu, Hsu Chih-yen","Wu Kang-ren, Eve Ai, Fu Meng-po, Lin Mei-hsiu, 9m88",United States,2021,TV-14,96.0,"Dramas, Independent Movies, International Movies"
s341,Movie,Inception,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite, Michael Caine, Lukas Haas",United States,2010,PG-13,148.0,"Action & Adventure, Sci-Fi & Fantasy, Thrillers"
s342,Movie,Magnolia,Paul Thomas Anderson,"John C. Reilly, Philip Baker Hall, Tom Cruise, Julianne Moore, Philip Seymour Hoffman, William H. Macy, Jeremy Blackman, Jason Robards, Melinda Dillon, April Grace, Luis Guzmán, Ricky Jay, Alfred Molina, Michael Murphy, Melora Walters",United States,1999,R,189.0,"Dramas, Independent Movies"
s343,Movie,Major Payne,Nick Castle,"Damon Wayans, Karyn Parsons, William Hickey, Michael Ironside, Albert Hall, Ross Bickell, Orlando Brown, Peyton Chesson-Fohl, Steven Martini",United States,1995,PG-13,97.0,Comedies
s344,Movie,My Girl,Howard Zieff,"Dan Aykroyd, Jamie Lee Curtis, Macaulay Culkin, Anna Chlumsky, Richard Masur, Griffin Dunne, Ann Nelson, Peter Michael Goetz, Jane Hallaren, Anthony R. Jones",United States,1991,PG-13,102.0,Dramas
s345,Movie,My Girl 2,Howard Zieff,"Anna Chlumsky, Austin O'Brien, Dan Aykroyd, Jamie Lee Curtis, Richard Masur, Christine Ebersole, Angeline Ball",United States,1994,PG,99.0,"Children & Family Movies, Comedies, Dramas"
s346,Movie,Open Season: Scared Silly,David Feiss,"William Townsend, Donny Lucas, Melissa Sturm, Trevor Devall, Brian Drummond, Kathleen Barr, Garry Chalk, Lee Tockar, Shannon Chan-Kent, Michelle Murdocca, Lorne Cardinal, Peter Kelamis",United States,2015,PG,85.0,"Children & Family Movies, Comedies"
s347,Movie,Pineapple Express,David Gordon Green,"Seth Rogen, James Franco, Danny McBride, Kevin Corrigan, Craig Robinson, Gary Cole, Rosie Perez, Ed Begley Jr., Nora Dunn, Amber Heard",United States,2008,R,112.0,"Action & Adventure, Comedies"
s348,Movie,Planet 51,Jorge Blanco,"Justin Long, Dwayne Johnson, Gary Oldman, Seann William Scott, Jessica Biel, John Cleese, Freddie Benedict",Spain,2009,PG,91.0,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
s349,Movie,Poms,Zara Hayes,"Diane Keaton, Jacki Weaver, Pam Grier, Rhea Perlman, Celia Weston, Alisha Boe, Charlie Tahan",United Kingdom,2019,PG-13,91.0,Comedies
s350,Movie,Seabiscuit,Gary Ross,"Tobey Maguire, Jeff Bridges, Chris Cooper, Elizabeth Banks, Gary Stevens, William H. Macy, David McCullough, Kingston DuCoeur, Eddie Jones, Ed Lauter, Michael O'Neill, Michael Angarano, Royce D. Applegate, Annie Corley, Valerie Mahaffey",United States,2003,PG-13,141.0,"Dramas, Sports Movies"
s351,Movie,Space Cowboys,Clint Eastwood,"Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner, James Cromwell, Marcia Gay Harden, William Devane, Loren Dean, Courtney B. Vance, Rade Serbedzija, Barbara Babcock, Blair Brown",United States,2000,PG-13,130.0,"Action & Adventure, Dramas, Sci-Fi & Fantasy"
s352,Movie,Team America: World Police,Trey Parker,"Trey Parker, Matt Stone, Kristen Miller, Masasa Moyo, Daran Norris, Phil Hendrie, Maurice LaMarche, Chelsea Magritte, Jeremy Shada, Fred Tatasciore",United States,2004,R,98.0,"Action & Adventure, Comedies, Cult Movies"
s353,Movie,The Edge of Seventeen,Kelly Fremon Craig,"Hailee Steinfeld, Woody Harrelson, Kyra Sedgwick, Haley Lu Richardson, Blake Jenner, Hayden Szeto, Alexander Calvert, Eric Keenleyside",United States,2016,R,105.0,"Comedies, Dramas"
s354,Movie,The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,"Abigail Spencer, Chad Michael Murray, Katee Sackhoff, Emily Alyn Lind, Cicely Tyson, Andrea Frankle, Brad James, Lance E. Nichols",United States,2013,R,101.0,Horror Movies
s355,Movie,The Last Boy Scout,Tony Scott,"Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham, Taylor Negron, Danielle Harris, Halle Berry, Bruce McGill",United States,1991,R,105.0,"Action & Adventure, Comedies"
s356,Movie,The Lincoln Lawyer,Brad Furman,"Matthew McConaughey, Josh Lucas, Ryan Phillippe, John Leguizamo, Michael Peña, Bryan Cranston, Bob Gunton, William H. Macy, Marisa Tomei, Frances Fisher",United States,2011,R,118.0,"Dramas, Thrillers"
s357,Movie,The Losers,Sylvain White,"Jeffrey Dean Morgan, Zoe Saldana, Chris Evans, Idris Elba, Columbus Short, Óscar Jaenada, Jason Patric, Holt McCallany, Peter Macdissi, Peter Francis James",United States,2010,PG-13,97.0,Action & Adventure
s358,Movie,The Machinist,Brad Anderson,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian, Michael Ironside, Lawrence Gilliard Jr., Reg E. Cathey, Anna Massey, Matthew Romero, Robert Long, Colin Stinton, Craig Stevenson",Spain,2004,R,102.0,"Dramas, Independent Movies, Thrillers"
s359,Movie,The Net,Irwin Winkler,"Sandra Bullock, Jeremy Northam, Dennis Miller, Diane Baker, Wendy Gazelle, Ken Howard, Ray McKinnon, Daniel Schorr, L. Scott Caldwell, Robert Gossett",United States,1995,PG-13,114.0,Thrillers
s360,Movie,The Original Kings of Comedy,Spike Lee,"Steve Harvey, D.L. Hughley, Cedric the Entertainer, Bernie Mac",United States,2000,R,111.0,Stand-Up Comedy
s361,Movie,Valentine's Day,Garry Marshall,"Jessica Alba, Kathy Bates, Jessica Biel, Bradley Cooper, Eric Dane, Patrick Dempsey, Hector Elizondo, Jamie Foxx, Jennifer Garner, Topher Grace, Anne Hathaway, Ashton Kutcher, Queen Latifah, Taylor Lautner, George Lopez, Shirley MacLaine, Emma Roberts, Julia Roberts, Taylor Swift",United States,2010,PG-13,125.0,"Comedies, Romantic Movies"
s362,TV Show,Charmed,Unkown,"Madeleine Mantock, Sarah Jeffery, Melonie Diaz, Rupert Evans, Ser'Darius Blain, Ellen Tamaki, Charlie Gillespie",United States,2021,TV-14,3.0,"TV Dramas, TV Sci-Fi & Fantasy"
s363,Movie,The Lost Café,Kenneth Gyang,"Tunde Aladese, Omatta Udalor, Terje Lien, Ann Njemanze, Anders Lidin Hansen, Jenny Bonden, Belinda Effah, Anita Daniels, Silje Drensgrud, Torbjørn Jensen",United States,2018,TV-14,76.0,"Dramas, International Movies"
s364,Movie,The Vault,Jaume Balagueró,"Freddie Highmore, Astrid Bergès-Frisbey, Sam Riley, Liam Cunningham, José Coronado, Luis Tosar, Emilio Gutiérrez Caba, Axel Stein, Daniel Holguín, Famke Janssen",United States,2021,R,118.0,"Action & Adventure, International Movies, Thrillers"
s366,Movie,Eyes of a Thief,Najwa Najjar,"Khaled Abol El Naga, Souad Massi, Suhail Haddad, Malak Ermileh, Maisa Abd Elhadi, Walid Abdul Salam, Nisreen Faour, Areen Omari",,2014,TV-14,103.0,"Dramas, Independent Movies, International Movies"
s367,TV Show,Glow Up,Unkown,Unkown,United Kingdom,2021,TV-14,3.0,"British TV Shows, International TV Shows, Reality TV"
s368,Movie,I'm Glad I Did,Selçuk Metin,"Metin Akpınar, Demet Akbağ, Umur Bugay, Ahmet Gülhan, Dikmen Gürün, Kandemir Konduk, Perran Kutman, Zeynep Oral, Nevra Serezli, Selma Sonat, Suat Sungur, Ferhan Şensoy, Cihat Tamer, Demet Taner",United States,2020,TV-14,114.0,"Documentaries, International Movies"
s372,Movie,Pomegranates and Myrrh,Najwa Najjar,"Yasmine Al Massri, Ashraf Farah, Ali Suliman, Hiam Abbass, Samia Kuzmoz Bakri, Yosef Abu Wardeh, Wardeh Dukwar, Manal Awad, Valentina Abu-'Aksa, Walid Abdul Salam, Ahmad Abu Sal'oum, Wardeh Jubran",United States,2009,TV-14,95.0,"Dramas, Independent Movies, International Movies"
s373,Movie,Rurouni Kenshin: The Beginning,Keishi Otomo,"Takeru Satoh, Kasumi Arimura, Issey Takahashi, Nijiro Murakami, Masanobu Ando, Kazuki Kitamura, Yosuke Eguchi",United States,2021,TV-MA,138.0,"Action & Adventure, International Movies"
s374,Movie,The Last Mercenary,David Charhon,"Jean-Claude Van Damme, Alban Ivanov, Éric Judor, Patrick Timsit, Miou-Miou, Assa Sylla, Samir Decazza, Valérie Kaprisky, Djimo, Nassim Lyes",United States,2021,TV-MA,112.0,"Action & Adventure, Comedies, International Movies"
s375,Movie,Flower Girl,Michelle Bello,"Damilola Adegbite, Chris Attoh, Chuks Chukwujekwu, Blossom Chukwujekwu, Eku Edewor, Bikiya Graham Douglas",Nigeria,2013,TV-PG,94.0,"Comedies, International Movies, Romantic Movies"
s376,Movie,Resort to Love,Steven Tsuchida,"Christina Milian, Jay Pharoah, Sinqua Walls, Tymberlee Hill, Jeryl Prescott Gallien, Christiani Pitts, Karen Obilom, Alexander Hodge, T.J. Power, Sylvaine Strike, Kayne Lee Harrison",United States,2021,TV-14,102.0,"Comedies, Romantic Movies"
s378,Movie,Bartkowiak,Daniel Markowicz,"Józef Pawłowski, Zofia Domalik, Szymon Bobrowski, Bartłomiej Topa, Janusz Chabior, Rafał Zawierucha, Antoni Pawlicki, Cezary Łukaszewicz, Danuta Stenka, Jan Frycz, Damian Majewski",Poland,2021,TV-MA,92.0,"Action & Adventure, International Movies"
s379,Movie,Fantastic Fungi,Louie Schwartzberg,Unkown,United States,2019,TV-14,81.0,Documentaries
s381,TV Show,The Flash,Glen Winter,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht",United States,2021,TV-14,7.0,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy"
s383,TV Show,All American,Unkown,"Daniel Ezra, Taye Diggs, Samantha Logan, Bre-Z, Greta Onieogou, Monet Mazur, Michael Evans Behling, Cody Christian, Karimah Westbrook, Jalyn Hall, Jordan Belfi, Briana Lane",United States,2021,TV-14,3.0,"TV Dramas, Teen TV Shows"
s384,Movie,Department,Ram Gopal Varma,"Amitabh Bachchan, Sanjay Dutt, Rana Daggubati, Vijay Raaz, Abhimanyu Singh, Madhu Shalini, Deepak Tijori, Anjana Sukhani, Manchu Lakshmi",India,2012,TV-MA,143.0,"Action & Adventure, International Movies"
s385,Movie,Hostage House,David Benullo,"Jennifer Taylor, Justin Schilling, Emily Sweet, Julia Terranova, Patrick Cronen, Richard Neil",United States,2021,TV-14,86.0,Thrillers
s386,TV Show,How to Sell Drugs Online (Fast),Unkown,"Maximilian Mundt, Danilo Kamperidis, Lena Klenke, Damian Hardung, Leonie Wesselow, Luna Schaller, Bjarne Mädel, Roland Riebeling",Germany,2021,TV-MA,3.0,"Crime TV Shows, International TV Shows, TV Comedies"
s387,TV Show,Mighty Express,Unkown,"Jay Hatton, Zoe Hatz, Meesha Contreras, Dylan Shombing, Tyler Nathan, Leo Orgil, Michela Luci, Ian Ho, Evan Lefeuvre, Annick Obonsawin",United States,2021,TV-Y,4.0,Kids' TV
s388,Movie,Mimi,Laxman Utekar,"Kriti Sanon, Pankaj Tripathi, Sai Tamhankar, Manoj Pahwa, Supriya Pathak, Evelyn Edwards",United States,2021,TV-14,132.0,"Comedies, Dramas, International Movies"
s390,Movie,The Operative,Yuval Adler,"Diane Kruger, Martin Freeman, Cas Anvar, Rotem Keinan, Yohanan Herson",France,2019,TV-MA,117.0,"Dramas, International Movies, Thrillers"
s391,TV Show,The Walking Dead,Unkown,"Andrew Lincoln, Steven Yeun, Norman Reedus, Chandler Riggs, Melissa McBride, Lauren Cohan, Danai Gurira, Alanna Masterson, Sonequa Martin-Green, Josh McDermitt, Christian Serratos, Seth Gilliam, Ross Marquand, Lennie James, Emily Kinney, Jon Bernthal",United States,2019,TV-MA,10.0,"Classic & Cult TV, TV Action & Adventure, TV Dramas"
s392,TV Show,Wynonna Earp,Unkown,"Melanie Scrofano, Shamier Anderson, Tim Rozon, Dominique Provost-Chalkley, Michael Eklund, Katherine Barrell, Greg Lawson, Natascha Girgis",Canada,2020,TV-MA,4.0,"International TV Shows, TV Action & Adventure, TV Dramas"
s393,Movie,Django Unchained,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar, David Steen, Dana Gourrier, Nichole Galicia, Laura Cayouette, Ato Essandoh, Sammi Rotibi, Escalante Lundy, Don Johnson",United States,2012,R,165.0,"Action & Adventure, Dramas"
s394,Movie,A Second Chance:  Rivals!,Clay Glen,"Emily Morris, Stella Shute, Eva Grados, India Colombi, Nina Pearce, Adam Tuominen, Carmel Johnson, Natasha Wanganeen, Elysia Markou, Alexander Lloyd, Amy Handley",Australia,2021,PG,91.0,"Children & Family Movies, Sports Movies"
s395,Movie,African America,Muzi Mthembu,"Phumelele Mthembu, Anthony Goss, Thami Buti, Makhosazana Ndlovu, Zandile Lujabe, Gontse Ntshegang, Roget Ellis, Bridget Pike, Boipelo Nokukhanya Tau, James Raynolds, Nji Alain, Bongani Dlamin",United States,2021,TV-MA,97.0,"Dramas, Independent Movies, International Movies"
s396,Movie,Bankrolled,Marcos Bucay,"Aldo Escalante, Ricardo Polanco, Natalia Téllez, Fabrizio Santini, SeoJu Park, María Chacón, Giuseppe Gamba, Sebastián Zurita",United States,2021,TV-MA,97.0,"Comedies, International Movies"
s397,Movie,Blood Red Sky,Peter Thorwarth,"Peri Baumeister, Alexander Scheer, Kais Setti, Carl Koch, Gordon Brown, Roland Møller, Chidi Ajufo, Kai Ivo Baulitz, Graham McTavish, Dominic Purcell",United States,2021,TV-MA,123.0,"Action & Adventure, Horror Movies, International Movies"
s399,Movie,Kingdom: Ashin of the North,Kim Seong-hun,"Gianna Jun, Park Byung-eun, Kim Si-a, Kim Roi-ha, Koo Kyo-hwan",United States,2021,TV-MA,94.0,"Horror Movies, International Movies, Thrillers"
s403,Movie,The Last Letter From Your Lover,Augustine Frizzell,"Shailene Woodley, Felicity Jones, Callum Turner, Joe Alwyn, Nabhaan Rizwan, Ncuti Gatwa, Emma Appleton, Christian Brassington, Alice Orr-Ewing, Lee Knight, Zoe Boyle, Ben Cross, Diana Kent",United Kingdom,2021,TV-MA,111.0,"Dramas, Romantic Movies"
s405,Movie,9to5: The Story of a Movement,Unkown,Unkown,United States,2021,TV-MA,85.0,Documentaries
s406,Movie,Chhota Bheem - Dinosaur World,Sidheswar Shukla,"Sonal Kaushal, Rupa Bhimani, Julie Tejwani, Sabina Malik, Jigna Bharadwaj",United States,2015,TV-Y,65.0,Children & Family Movies
s407,Movie,Chhota Bheem - Neeli Pahaadi,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",United States,2013,TV-Y7,64.0,Children & Family Movies
s408,Movie,Chhota Bheem & Ganesh,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",United States,2009,TV-Y7,68.0,Children & Family Movies
s409,Movie,Chhota Bheem & Krishna: Mayanagari,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",United States,2011,TV-Y7,67.0,Children & Family Movies
s410,Movie,Chhota Bheem & Krishna: Pataliputra- City of the Dead,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Arun Shekher, Sanchit Wartak",United States,2010,TV-Y7,66.0,Children & Family Movies
s411,Movie,Chhota Bheem And The Broken Amulet,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,2013,TV-Y7,64.0,Children & Family Movies
s412,Movie,Chhota Bheem And The Crown of Valhalla,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",United States,2013,TV-Y7,64.0,Children & Family Movies
s413,Movie,Chhota Bheem and the Incan Adventure,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",United States,2013,TV-Y7,65.0,Children & Family Movies
s414,Movie,Chhota Bheem and The ShiNobi Secret,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",United States,2013,TV-Y7,64.0,Children & Family Movies
s415,Movie,Chhota Bheem Aur Hanuman,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",United States,2012,TV-Y7,68.0,Children & Family Movies
s416,Movie,Chhota Bheem aur Krishna,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Arun Shekher, Sanchit Wartak",India,2009,TV-Y7,68.0,Children & Family Movies
s417,Movie,Chhota Bheem aur Krishna vs Zimbara,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",United States,2013,TV-Y7,64.0,Children & Family Movies
s418,Movie,Chhota Bheem in African Safari,Binayak Das,"Sonal Kaushal, Rupa Bhimani, Julie Tejwani, Sabina Malik, Jigna Bharadwaj, Rajesh Kava",United States,2015,TV-Y7,62.0,Children & Family Movies
s419,Movie,Chhota Bheem Ka Roosi Romanch,"Arpan Sarkar, Shyamal Chaulia","Julie Tejwani, Sabina Malik, Jigna Bharadwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kava, Raju",United States,2019,TV-Y,63.0,Children & Family Movies
s420,Movie,Chhota Bheem: Bheem vs Aliens,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",United States,2010,TV-Y7,69.0,"Children & Family Movies, Sports Movies"
s421,Movie,Chhota Bheem: Dholakpur to Kathmandu,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",United States,2012,TV-Y7,70.0,Children & Family Movies
s422,Movie,Chhota Bheem: Dus Pe Dus,"Rajiv Chilaka, Owll Mina","Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",United States,2014,TV-Y7,63.0,Children & Family Movies
s423,Movie,Chhota Bheem: Journey to Petra,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava",United States,2011,TV-Y7,68.0,Children & Family Movies
s424,Movie,Chhota Bheem: Master of Shaolin,Rajiv Chilaka,"Pooja Punabi, Mausam, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Parigna Pandya",United States,2011,TV-Y7,74.0,Children & Family Movies
s425,Movie,Chhota Bheem: The Rise of Kirmada,Rajiv Chilaka,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",United States,2012,TV-Y7,68.0,Children & Family Movies
s426,TV Show,Chicago Med,Unkown,"Colin Donnell, Torrey DeVitto, Oliver Platt, S. Epatha Merkerson, Nick Gehlfuss, Yaya DaCosta, Laurie Holden",United States,2019,TV-14,5.0,TV Dramas
s427,Movie,Cousins,"Ainsley Gardiner, Briar Grace-Smith","Rachel House, Briar Grace-Smith, Tanea Heke, Tioreore Ngatai-Melbourne, Ana Scotney, Hariata Moriarty, Chelsie Preston Crayford, Sylvia Rands",New Zealand,2021,TV-MA,99.0,Dramas
s428,Movie,Wannabe Courageous,Mahmoud Karim,"Ramez Galal, Jamila Awad, Bayoumi Fouad, Mohamed Abdel-Rahman, Mohammed Tharwat, Maha Abou Ouf, Noor Kadri, Elshahat Mabrouk, Badriyyah Tulbah, Taher Abu Lela, Sara Derzawy",United States,2019,TV-14,90.0,"Comedies, International Movies"
s429,Movie,Words Bubble Up Like Soda Pop,Kyohei Ishiguro,"Somegoro Ichikawa, Hana Sugisaki, Megumi Han, Natsuki Hanae, Yuuichirou Umehara, Megumi Nakajima, Sumire Morohoshi, Hiroshi Kamiya, Maaya Sakamoto, Koichi Yamadera, Kikuko Inoue",United States,2021,TV-G,87.0,"Anime Features, Children & Family Movies, International Movies"
s430,Movie,Sanitation Day,Seyi Babatope,"Blossom Chukwujekwu, Elozonam Ogbolu, Nse Ikpe-Etim, Belinda Effah, Saeed Mohammed, Chukwuemeka Okoroafor, Kunle Fawole, Chris Okagbue, Adebayo Salami, Charles Inojie, Elvina Ibru, Tobi Bakare",Nigeria,2020,TV-14,105.0,"Dramas, International Movies, Thrillers"
s433,Movie,Trollhunters: Rise of the Titans,"Johane Matte, Andrew L. Schmidt, Francisco Ruiz Velasco","Emile Hirsch, Lexi Medrano, Charlie Saxton, Kelsey Grammer, Fred Tatasciore, Steven Yeun, Cole Sand, Amy Landecker, Jonathan Hyde, Thomas F. Wilson, Lauren Tom, Diego Luna, Tatiana Maslany, Nick Offerman, Nick Frost, Colin O'Donoghue, Alfred Molina, Piotr Michael, Kay Bess, Angel Lin, James Hong",United States,2021,TV-Y7,106.0,Children & Family Movies
s434,Movie,Milkwater,Morgan Ingari,"Molly Bernard, Patrick Breen, Robin de Jesús, Ava Eisenson, Ade Otukoya",United States,2020,TV-MA,102.0,"Comedies, Dramas, Independent Movies"
s437,Movie,The Tambour of Retribution,Abdulaziz Alshlahei,"Faisal Al Dokhei, Adwa Fahad, Muhand Alsaleh, Rawya Ahmed, Ajeba Aldosary, Aly Ibrahim, Samer Elkhal, Hashem Hawsawi, Ibrahim Mesisebi, Shabib Alkhaleefa, Abdulateif Saud, Nada Alshehry, Dhay Nasser",Saudi Arabia,2021,TV-14,91.0,"Dramas, International Movies, Romantic Movies"
s438,Movie,Cosmic Sin,Edward Drake,"Frank Grillo, Bruce Willis, Brandon Thomas Lee, Corey Large, Perrey Reeves, C.J. Perry, Lochlyn Munro, Costas Mandylor, Adelaide Kane, Eva De Dominici, Sarah May Sommers, Trevor Gretzky",United States,2021,R,88.0,Action & Adventure
s439,Movie,2 Weeks in Lagos,Kathryn Fasegha,"Beverly Naya, Mawuli Gavor, Ajoke Silva, Jide Kosoko, Toyin Abraham, Okey Uzoeshi, Deyemi Okanlawon, Shaffy Bello, Tina Mba, Efe Irele",United States,2020,TV-PG,107.0,"Dramas, International Movies, Romantic Movies"
s440,Movie,Deep,"Sita Likitvanichkul, Jetarin Ratanaserikiat, Apirak Samudkitpaisan, Thanabodee Uawithya, Adirek Wattaleela","Panisara Rikulsurakan, Kay Lertsittichai, Supanaree Sutavijitvong, Krit Jeerapattananuwong, Warisara Jitpreedasakul, Dujdao Vadhanapakorn, Kim Waddoup, Philaiwan Khamphirathat, Wongsakorn Rassamitat, Bhumibhat Thavornsiri",Thailand,2021,TV-MA,101.0,"Dramas, International Movies, Thrillers"
s441,TV Show,Explained,Unkown,Unkown,United States,2021,TV-MA,3.0,"Docuseries, Science & Nature TV"
s442,Movie,Fear Street Part 3: 1666,Leigh Janiak,"Kiana Madeira, Ashley Zukerman, Gillian Jacobs, Olivia Scott Welch, Benjamin Flores Jr., Darrell Britt-Gibson, Sadie Sink, Emily Rudd, McCabe Slye, Julia Rehwald, Fred Hechinger, Jordana Spiro, Jordyn DiNatale",United States,2021,R,114.0,"Horror Movies, LGBTQ Movies"
s444,Movie,La ley de Herodes,Luis Estrada,"Damián Alcázar, Pedro Armendáriz Jr., Delia Casanova, Juan Carlos Colombo, Alex Cox, Guillermo Gil, Ernesto Gómez Cruz, Leticia Huijara, Luis de Icaza, Eduardo López Rojas, Manuel Ojeda, Salvador Sánchez, Evangelina Sosa, Isela Vega",United States,1999,R,123.0,"Comedies, International Movies"
s446,Movie,The Beguiled,Sofia Coppola,"Colin Farrell, Nicole Kidman, Kirsten Dunst, Elle Fanning, Oona Laurence, Angourie Rice, Addison Riecke, Emma Howard",United States,2017,R,94.0,"Dramas, Independent Movies, Thrillers"
